,B-bien_phap_chan_doan,B-bien_phap_dieu_tri,B-nguyen_nhan_benh,B-ten_benh,B-trieu_chung_benh,I-bien_phap_chan_doan,I-bien_phap_dieu_tri,I-nguyen_nhan_benh,I-ten_benh,I-trieu_chung_benh,O
B-bien_phap_chan_doan,0,0,0,0,0,0,0,0,0,0,0
B-bien_phap_dieu_tri,0,0,0,0,0,0,0,0,0,0,0
B-nguyen_nhan_benh,0,0,0,0,0,0,0,0,0,0,0
B-ten_benh,0,0,0,0,0,0,0,0,0,0,0
B-trieu_chung_benh,0,0,0,0,0,0,0,0,0,0,0
I-bien_phap_chan_doan,0,0,0,0,0,0,0,0,0,0,0
I-bien_phap_dieu_tri,0,0,0,0,0,0,0,0,0,0,0
I-nguyen_nhan_benh,0,0,0,0,0,0,0,0,0,0,0
I-ten_benh,0,0,0,0,0,0,0,0,0,0,0
I-trieu_chung_benh,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0
